Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2012-08-19,Woomera,5.0,17.9,0.0,2.4,4.9,NNE,24.0,SE,N,13.0,11.0,96.0,37.0,1027.2,1022.5,8.0,6.0,7.8,16.6,No,No
2015-04-16,Townsville,22.9,31.3,0.0,9.4,6.2,ESE,61.0,SE,E,24.0,35.0,54.0,50.0,1020.2,1016.4,4.0,7.0,29.0,29.4,No,No
2011-07-28,Mildura,2.2,19.1,0.0,1.2,9.8,N,33.0,NNE,N,11.0,19.0,65.0,30.0,1027.8,1024.0,0.0,0.0,8.1,18.7,No,No
2012-05-13,Townsville,17.9,29.2,0.0,5.2,8.9,NE,31.0,SSE,NE,9.0,24.0,65.0,59.0,1017.0,1013.4,7.0,6.0,24.5,26.9,No,No
2015-12-09,Moree,23.1,35.2,0.6,13.8,5.7,N,41.0,NNE,NNE,20.0,9.0,70.0,34.0,1017.7,1014.7,7.0,6.0,23.7,31.4,No,No
2016-01-11,Cairns,24.4,32.6,2.8,6.0,10.5,ESE,39.0,SE,ESE,15.0,24.0,66.0,53.0,1015.2,1012.3,3.0,0.0,29.3,31.2,Yes,No
2016-02-20,Mildura,14.0,28.6,0.0,10.6,12.4,S,43.0,SSE,S,19.0,17.0,54.0,24.0,1021.6,1020.1,1.0,0.0,16.4,25.5,No,No
2010-12-20,MelbourneAirport,8.5,19.0,2.6,3.8,1.5,SW,52.0,SW,SW,37.0,33.0,62.0,39.0,1004.4,1005.3,7.0,7.0,13.0,18.2,Yes,Yes
2009-03-25,Hobart,14.2,21.1,0.0,2.6,1.4,SE,24.0,NW,SE,7.0,17.0,82.0,59.0,1014.6,1013.2,8.0,7.0,16.0,20.2,No,No
2013-12-18,Cairns,24.7,31.7,0.0,10.8,11.2,SE,56.0,SE,SE,33.0,39.0,57.0,49.0,1012.7,1010.8,3.0,2.0,29.3,30.6,No,Yes
2012-03-23,SydneyAirport,16.8,26.0,2.2,1.4,10.9,W,63.0,WNW,W,15.0,26.0,62.0,30.0,1003.7,1002.0,1.0,1.0,19.3,24.1,Yes,No
2009-08-20,Portland,10.7,18.4,5.2,2.8,8.0,NW,46.0,N,WNW,9.0,2.0,96.0,56.0,1014.4,1009.5,6.0,4.0,12.0,18.3,Yes,Yes
2015-08-15,MountGambier,2.2,14.8,0.8,0.4,6.6,W,22.0,NE,NNW,7.0,6.0,93.0,62.0,1032.5,1030.2,3.0,7.0,10.0,14.4,No,No
2010-03-17,NorfolkIsland,18.3,24.5,1.4,5.2,11.0,SE,46.0,SSE,SSE,28.0,22.0,62.0,57.0,1017.1,1016.4,1.0,3.0,21.7,23.4,Yes,No
2017-04-06,Brisbane,16.7,22.7,3.2,4.2,0.7,ESE,24.0,SSW,ESE,6.0,4.0,72.0,64.0,1022.0,1019.9,7.0,7.0,21.0,22.0,Yes,No
2011-12-11,Townsville,26.1,33.7,0.4,6.4,9.5,N,39.0,N,N,15.0,30.0,72.0,60.0,1007.8,1003.7,3.0,7.0,30.5,31.7,No,Yes
2009-07-16,Brisbane,10.9,17.1,0.0,1.6,8.8,W,39.0,W,WNW,13.0,22.0,61.0,50.0,1014.0,1011.1,1.0,1.0,13.6,15.9,No,No
2015-06-04,Brisbane,7.4,22.3,0.0,2.0,9.8,SSW,17.0,SSW,WSW,4.0,7.0,67.0,45.0,1022.5,1018.5,1.0,1.0,13.4,21.5,No,No
2013-12-18,Williamtown,15.3,27.1,0.0,8.0,13.2,SE,39.0,NE,ESE,15.0,28.0,59.0,52.0,1023.6,1023.0,2.0,2.0,23.5,25.6,No,No
2014-08-03,AliceSprings,0.1,16.6,0.0,4.2,10.8,SE,35.0,ESE,S,11.0,17.0,35.0,17.0,1027.7,1024.6,0.0,0.0,8.2,15.7,No,No
2009-05-24,Woomera,14.8,21.8,0.0,6.8,0.2,WSW,37.0,SE,N,13.0,11.0,62.0,40.0,1014.9,1012.1,8.0,8.0,16.4,21.4,No,Yes
2013-03-06,WaggaWagga,17.8,30.5,0.0,9.4,11.8,ENE,33.0,ENE,NE,22.0,11.0,58.0,33.0,1019.5,1016.0,1.0,2.0,20.9,29.1,No,No
2010-09-09,Moree,7.8,22.8,0.0,3.4,1.2,NNE,39.0,NNE,NW,28.0,7.0,75.0,91.0,1018.7,1014.1,7.0,8.0,17.6,18.9,No,Yes
2010-04-27,Cobar,9.6,20.5,0.0,2.8,3.9,N,17.0,ENE,WNW,6.0,7.0,70.0,34.0,1021.2,1018.7,8.0,5.0,13.0,19.4,No,No
2015-05-05,Portland,7.8,14.3,10.2,5.2,5.3,WNW,91.0,NNW,WNW,26.0,63.0,85.0,62.0,997.0,999.5,8.0,8.0,9.7,13.2,Yes,Yes
2011-06-17,Darwin,13.7,27.6,0.0,6.0,9.8,ESE,41.0,SE,E,20.0,13.0,44.0,22.0,1017.3,1014.1,2.0,5.0,17.7,26.9,No,No
2015-08-04,SydneyAirport,8.5,15.7,0.0,3.8,4.6,W,35.0,W,N,15.0,9.0,53.0,38.0,1022.9,1018.8,7.0,4.0,9.9,14.5,No,No
2009-03-07,Darwin,26.7,34.1,0.0,6.4,8.4,W,30.0,SSW,S,17.0,11.0,71.0,37.0,1009.0,1006.3,3.0,6.0,28.9,33.3,No,No
2009-04-29,CoffsHarbour,10.5,19.6,0.0,3.2,3.1,SW,41.0,SSW,S,19.0,19.0,57.0,71.0,1020.5,1017.4,6.0,7.0,17.7,18.4,No,No
2011-12-22,Portland,14.2,23.4,0.0,4.8,11.6,ENE,39.0,ENE,SE,20.0,17.0,80.0,61.0,1016.3,1014.3,7.0,4.0,16.7,22.5,No,No
2012-01-03,Cairns,21.3,30.7,0.0,8.6,5.9,SE,44.0,SSE,SE,17.0,22.0,58.0,64.0,1013.6,1011.5,1.0,7.0,28.0,26.8,No,Yes
2013-11-12,Portland,11.8,15.9,0.2,4.4,4.4,SE,52.0,SE,SE,30.0,30.0,88.0,79.0,1022.0,1019.9,8.0,8.0,12.8,14.6,No,Yes
2013-10-02,PerthAirport,10.4,26.3,0.0,4.2,11.3,NE,28.0,E,NE,11.0,9.0,58.0,32.0,1025.6,1021.3,0.0,0.0,17.1,25.7,No,No
2010-10-07,Canberra,12.4,17.9,3.4,3.8,9.6,NNW,44.0,N,NNW,24.0,28.0,78.0,49.0,1016.2,1016.4,2.0,1.0,13.8,16.8,Yes,No
2008-09-16,Hobart,7.4,11.1,1.4,5.2,8.9,SW,59.0,WNW,WSW,15.0,13.0,60.0,60.0,1004.5,1012.6,5.0,5.0,8.0,8.4,Yes,No
2009-08-07,CoffsHarbour,9.4,23.0,0.0,2.4,10.3,NNE,39.0,NW,NNE,20.0,30.0,58.0,63.0,1019.8,1014.8,4.0,3.0,18.3,20.0,No,No
2013-07-12,AliceSprings,8.6,27.3,0.0,2.4,10.3,N,35.0,E,NNW,7.0,11.0,74.0,32.0,1021.7,1017.4,0.0,0.0,16.0,26.9,No,No
2009-01-13,Nuriootpa,17.9,40.3,0.0,10.6,13.7,NNW,48.0,N,NW,20.0,33.0,11.0,4.0,1011.3,1008.2,0.0,0.0,31.0,38.7,No,No
2009-01-16,PerthAirport,22.5,43.0,0.0,13.8,13.1,NE,50.0,NE,WNW,31.0,20.0,12.0,18.0,1011.1,1010.1,0.0,1.0,34.0,37.3,No,No
2010-08-12,PerthAirport,12.6,17.2,19.0,2.4,1.9,N,54.0,NNE,NNE,13.0,17.0,97.0,78.0,1008.0,1002.7,8.0,7.0,13.1,16.9,Yes,Yes
2009-08-07,Portland,7.6,12.0,8.0,3.6,8.4,WNW,67.0,SW,WSW,28.0,24.0,66.0,58.0,1015.7,1020.1,4.0,2.0,9.3,11.7,Yes,No
2015-01-03,Perth,15.8,29.5,0.0,8.8,13.2,SW,41.0,SE,SSW,11.0,24.0,44.0,45.0,1015.9,1012.6,3.0,3.0,21.6,24.8,No,No
2017-05-25,Darwin,22.4,33.1,0.0,7.4,11.1,ENE,46.0,ESE,ENE,20.0,20.0,60.0,38.0,1013.3,1009.8,1.0,2.0,27.2,32.8,No,No
2017-04-19,Mildura,15.3,32.1,0.0,8.0,5.7,NNE,43.0,NE,NNE,17.0,20.0,38.0,20.0,1024.4,1020.4,7.0,7.0,20.5,31.4,No,No
2012-11-28,Cairns,22.5,31.6,0.0,9.4,11.8,ESE,37.0,SSE,ENE,22.0,24.0,58.0,55.0,1014.0,1010.9,7.0,6.0,27.9,29.5,No,No
2011-10-01,Sale,7.7,15.1,4.2,3.8,1.7,SE,44.0,SSE,SE,13.0,31.0,95.0,78.0,1008.2,1011.5,8.0,8.0,10.8,12.4,Yes,Yes
2011-09-20,Sale,10.2,13.7,7.4,6.0,3.7,W,57.0,WSW,W,19.0,33.0,78.0,76.0,1004.4,1008.6,7.0,6.0,11.6,13.1,Yes,Yes
2010-11-28,NorfolkIsland,17.5,21.8,0.0,6.0,5.8,ESE,54.0,E,E,30.0,31.0,70.0,69.0,1018.5,1016.5,7.0,7.0,19.6,20.8,No,No
2009-12-12,MelbourneAirport,12.4,21.6,0.0,5.8,3.8,W,52.0,WSW,W,30.0,20.0,67.0,48.0,1019.2,1017.9,7.0,7.0,15.8,20.2,No,No
2009-04-10,Sale,6.9,24.5,0.2,3.8,6.6,S,37.0,NNW,S,9.0,26.0,96.0,57.0,1019.4,1018.0,6.0,6.0,11.6,21.7,No,Yes
2012-05-28,AliceSprings,11.6,19.0,0.0,5.2,9.1,E,48.0,ESE,ESE,22.0,31.0,60.0,34.0,1025.9,1022.4,6.0,3.0,12.9,17.6,No,No
2013-08-24,Mildura,7.7,16.7,0.2,3.4,1.8,SW,28.0,WSW,WSW,13.0,11.0,91.0,57.0,1025.9,1024.7,7.0,7.0,10.9,16.3,No,No
2016-07-21,Melbourne,6.9,18.1,1.8,2.0,4.5,N,50.0,NNE,N,6.0,20.0,100.0,65.0,1016.5,1011.4,7.0,2.0,9.3,18.0,Yes,Yes
2015-11-02,WaggaWagga,16.3,27.1,31.4,6.8,11.0,W,39.0,NW,W,13.0,19.0,85.0,38.0,1011.3,1009.7,3.0,4.0,19.1,26.2,Yes,No
2009-02-10,Canberra,12.5,23.8,0.0,4.6,4.4,ENE,35.0,SE,ENE,13.0,13.0,77.0,58.0,1011.3,1009.1,8.0,6.0,14.0,21.5,No,No
2013-12-14,Brisbane,19.4,30.2,0.4,6.8,12.9,ENE,26.0,SW,ENE,2.0,13.0,64.0,56.0,1014.7,1011.7,4.0,2.0,25.8,28.2,No,No
2009-09-18,Perth,12.3,17.6,6.6,4.6,8.1,WSW,63.0,W,WSW,15.0,24.0,59.0,35.0,1017.1,1018.5,7.0,4.0,14.6,16.7,Yes,Yes
2011-12-15,Nuriootpa,14.0,28.6,0.0,7.4,10.3,SSE,46.0,E,SSE,13.0,15.0,43.0,13.0,1016.2,1013.3,6.0,1.0,17.7,28.2,No,No
2016-02-24,Moree,19.9,35.0,0.0,10.2,12.5,NNE,37.0,N,NW,24.0,9.0,56.0,23.0,1017.4,1013.3,0.0,1.0,24.2,34.4,No,No
2016-07-12,MelbourneAirport,9.7,12.7,0.0,2.6,7.1,NW,83.0,NNW,NNW,41.0,26.0,58.0,59.0,997.3,998.9,5.0,5.0,10.9,9.8,No,No
2014-05-21,AliceSprings,10.3,28.1,0.0,4.0,8.9,ENE,33.0,ENE,SE,9.0,7.0,49.0,29.0,1019.6,1015.6,1.0,4.0,20.1,27.3,No,Yes
2009-07-22,PerthAirport,6.7,17.2,1.8,1.6,4.7,NNW,44.0,NE,NNW,15.0,19.0,95.0,65.0,1019.4,1016.3,6.0,5.0,11.1,16.4,Yes,Yes
2012-05-30,MountGambier,9.7,15.1,2.8,1.0,0.7,E,19.0,WNW,SE,2.0,7.0,100.0,88.0,1036.9,1034.0,8.0,7.0,12.1,14.0,Yes,No
2016-09-25,Darwin,26.5,33.3,0.0,8.0,9.3,WNW,37.0,SSW,WNW,7.0,30.0,74.0,50.0,1010.2,1007.2,3.0,4.0,29.4,32.6,No,No
2013-11-13,Darwin,24.1,34.6,2.8,6.0,9.5,NE,50.0,SSE,W,4.0,17.0,66.0,48.0,1009.1,1005.3,3.0,4.0,29.1,33.8,Yes,Yes
2011-10-07,Woomera,13.2,21.9,0.0,4.0,4.3,SW,41.0,S,SW,19.0,28.0,71.0,36.0,1015.5,1013.6,5.0,7.0,15.6,20.0,No,No
2009-01-14,NorfolkIsland,17.3,22.5,1.6,5.0,10.4,SSE,46.0,SSE,SE,26.0,22.0,74.0,55.0,1013.2,1012.4,4.0,1.0,19.9,21.7,Yes,No
2015-06-07,WaggaWagga,0.9,15.4,0.0,0.8,8.7,E,17.0,E,S,9.0,4.0,86.0,53.0,1030.1,1026.3,6.0,5.0,4.9,15.3,No,No
2014-04-01,Sale,13.5,32.3,0.2,2.8,7.8,E,33.0,SW,NE,9.0,11.0,91.0,27.0,1017.5,1014.0,7.0,2.0,17.3,31.9,No,No
2011-09-24,Sale,2.2,14.6,0.0,3.2,8.0,SE,35.0,WNW,S,9.0,24.0,62.0,48.0,1024.1,1022.1,4.0,3.0,11.1,12.8,No,Yes
2015-05-11,Hobart,5.8,12.9,1.4,2.6,5.8,WSW,56.0,NW,SW,9.0,9.0,81.0,44.0,999.2,1002.4,5.0,3.0,7.1,12.6,Yes,Yes
2009-09-28,Perth,12.7,16.9,1.8,4.4,0.9,SW,39.0,SSW,SSW,19.0,22.0,72.0,50.0,1013.4,1011.4,7.0,7.0,14.2,15.5,Yes,Yes
2016-09-08,Perth,11.6,17.9,5.4,3.8,8.6,SW,43.0,SSW,SW,11.0,9.0,58.0,49.0,1024.2,1023.5,7.0,2.0,14.7,17.4,Yes,No
2015-05-19,Brisbane,15.9,22.7,0.8,3.2,2.9,SSW,13.0,S,N,6.0,2.0,78.0,77.0,1022.6,1018.9,6.0,6.0,19.3,21.7,No,No
2016-08-19,Mildura,9.4,14.8,9.6,8.0,5.6,W,46.0,WNW,WNW,9.0,24.0,97.0,62.0,1011.9,1010.7,8.0,6.0,9.6,13.5,Yes,Yes
2011-03-19,Williamtown,19.1,26.9,1.0,0.8,3.2,ESE,33.0,W,ESE,15.0,15.0,85.0,76.0,1013.7,1010.5,6.0,6.0,20.9,24.3,No,Yes
2017-02-06,PerthAirport,16.7,33.8,0.0,9.6,12.3,E,54.0,E,SSE,30.0,13.0,46.0,26.0,1010.7,1005.8,0.0,1.0,23.2,33.2,No,No
2011-10-22,MelbourneAirport,12.1,19.0,3.2,0.2,1.4,SW,31.0,ESE,S,9.0,13.0,94.0,77.0,1024.4,1022.2,8.0,7.0,12.6,17.7,Yes,Yes
2011-06-02,Townsville,10.8,23.9,0.0,4.2,10.7,NNE,30.0,S,NE,9.0,24.0,42.0,33.0,1018.2,1015.1,0.0,0.0,20.1,22.6,No,No
2015-05-03,Sydney,18.9,20.9,31.6,1.2,0.4,SSW,50.0,SSW,S,15.0,22.0,98.0,86.0,1014.8,1012.8,8.0,6.0,19.0,20.8,Yes,No
2011-02-23,CoffsHarbour,16.4,24.3,1.6,3.4,8.0,S,57.0,SW,SW,24.0,30.0,74.0,64.0,1019.7,1018.5,6.0,6.0,19.7,23.5,Yes,No
2012-11-24,Perth,16.8,30.0,0.0,7.2,6.7,SW,43.0,E,S,11.0,20.0,59.0,38.0,1014.2,1008.2,7.0,2.0,20.8,29.0,No,No
2011-11-27,Woomera,14.5,35.1,0.0,12.0,12.5,NW,35.0,ENE,N,17.0,15.0,43.0,8.0,1013.7,1010.3,0.0,3.0,22.6,32.7,No,No
2012-10-03,Nuriootpa,6.3,27.0,0.0,5.6,11.9,WNW,43.0,NNW,WNW,20.0,20.0,23.0,12.0,1025.4,1019.7,0.0,0.0,21.1,26.3,No,No
2015-08-04,Hobart,2.9,11.7,5.0,1.0,4.6,WNW,83.0,NNE,NW,24.0,30.0,62.0,65.0,1010.6,1002.6,7.0,7.0,5.8,9.4,Yes,Yes
2012-02-14,Darwin,25.2,33.6,0.0,7.8,11.1,NW,33.0,ESE,NW,7.0,20.0,65.0,56.0,1011.0,1007.8,6.0,7.0,29.7,32.3,No,No
2011-11-12,MelbourneAirport,11.0,23.1,0.0,5.0,12.5,S,35.0,SSE,ESE,6.0,13.0,68.0,49.0,1019.9,1017.2,1.0,1.0,17.0,22.4,No,No
2010-09-01,Cairns,21.5,28.7,3.6,5.8,5.5,SE,46.0,SSE,SE,13.0,28.0,76.0,69.0,1020.1,1016.6,6.0,6.0,23.9,25.6,Yes,No
2011-06-30,PerthAirport,9.5,17.0,1.4,1.0,2.2,WSW,54.0,N,NNW,28.0,13.0,73.0,93.0,1010.1,1007.9,6.0,8.0,15.1,15.8,Yes,Yes
2009-06-24,Brisbane,11.3,23.2,0.0,2.2,5.2,SE,15.0,SW,NW,6.0,6.0,95.0,51.0,1019.2,1015.2,6.0,8.0,13.5,22.0,No,No
2010-09-14,CoffsHarbour,12.4,22.2,0.2,1.0,4.4,SSW,30.0,WNW,ENE,15.0,9.0,66.0,66.0,1016.0,1012.3,7.0,7.0,19.1,19.0,No,No
2010-08-12,Darwin,20.0,31.9,0.0,8.4,11.3,ESE,39.0,ESE,SSE,24.0,15.0,27.0,17.0,1016.8,1012.4,0.0,1.0,24.1,30.7,No,No
2013-10-08,CoffsHarbour,15.2,23.2,0.0,7.0,8.2,SE,50.0,SW,SE,11.0,20.0,55.0,74.0,1013.2,1013.7,2.0,7.0,20.3,17.8,No,Yes
2016-02-17,Nuriootpa,10.7,25.8,0.0,7.3,11.7,SE,44.0,SE,W,17.0,11.0,60.0,33.0,1019.4,1015.9,1.0,1.0,14.1,24.9,No,No
2015-08-26,Nuriootpa,3.7,13.4,0.0,2.9,4.0,WSW,26.0,NE,SW,2.0,13.0,86.0,55.0,1025.6,1022.9,7.0,7.0,7.4,12.9,No,No
2010-01-11,WaggaWagga,22.4,42.1,0.0,15.6,11.9,E,52.0,ENE,ESE,20.0,6.0,45.0,17.0,1014.7,1009.4,0.0,1.0,26.9,40.2,No,No
2008-06-24,Canberra,0.8,13.0,0.0,1.4,4.1,WNW,41.0,S,NW,2.0,28.0,95.0,69.0,1028.2,1024.2,8.0,6.0,4.3,11.7,No,No
2012-11-24,Portland,13.7,28.3,0.0,5.8,7.3,NW,44.0,NNW,W,20.0,28.0,51.0,45.0,1010.4,1010.2,6.0,6.0,21.5,23.5,No,No
2009-09-05,Hobart,4.6,14.9,1.6,1.6,7.1,NNW,52.0,NNW,NNW,13.0,26.0,66.0,39.0,1006.2,1005.7,6.0,5.0,8.3,14.2,Yes,No
2012-08-20,WaggaWagga,0.3,13.7,0.0,1.2,8.6,N,19.0,E,NE,9.0,11.0,74.0,47.0,1024.4,1020.0,1.0,4.0,6.2,13.0,No,No
2015-01-21,Moree,19.7,27.9,8.6,12.2,4.5,E,56.0,NE,ESE,33.0,20.0,71.0,71.0,1007.2,1005.5,7.0,7.0,23.4,25.3,Yes,Yes
2009-09-11,Cairns,20.2,30.4,0.0,6.0,10.8,E,37.0,SSE,ESE,20.0,24.0,60.0,45.0,1018.7,1015.3,6.0,2.0,25.7,28.2,No,No
2015-03-24,MountGambier,9.9,15.9,6.6,2.2,0.2,SSW,35.0,SW,SW,11.0,20.0,74.0,54.0,1021.1,1020.9,8.0,8.0,11.3,14.3,Yes,No
2013-01-15,Sydney,16.8,24.9,0.2,9.8,10.8,NE,41.0,NW,E,6.0,17.0,62.0,53.0,1019.4,1016.7,3.0,3.0,20.5,23.1,No,No
2016-08-06,SydneyAirport,9.3,15.4,3.6,2.6,2.2,SSW,37.0,NW,SSE,11.0,19.0,78.0,68.0,1028.9,1026.7,7.0,7.0,11.6,15.0,Yes,No
2011-05-03,AliceSprings,11.3,20.5,0.0,1.8,6.0,SSE,35.0,SE,SE,17.0,17.0,82.0,46.0,1019.9,1017.5,8.0,4.0,14.3,19.8,No,No
2011-09-21,Townsville,16.6,27.6,0.0,6.4,9.1,NE,31.0,SSE,ENE,6.0,22.0,71.0,52.0,1017.8,1013.3,4.0,0.0,23.5,26.5,No,No
2014-01-06,MelbourneAirport,11.1,19.9,0.4,11.2,5.3,SW,57.0,SW,SW,33.0,37.0,51.0,30.0,1015.4,1017.7,7.0,6.0,14.7,18.3,No,No
2014-08-19,Portland,7.9,13.0,0.0,0.8,1.8,ESE,24.0,SE,ESE,11.0,9.0,69.0,60.0,1026.7,1025.8,8.0,8.0,10.3,11.8,No,No
2016-02-17,Townsville,24.0,37.7,0.0,7.2,11.0,NNE,35.0,NW,NE,7.0,17.0,74.0,46.0,1007.0,1003.7,1.0,1.0,30.3,36.0,No,No
2015-05-17,Hobart,4.0,16.3,0.0,1.2,8.9,NW,56.0,NNW,SW,26.0,11.0,38.0,45.0,1027.5,1026.5,1.0,1.0,10.1,16.0,No,No
2016-11-05,Brisbane,17.2,34.4,0.0,9.0,12.3,NE,31.0,NW,NE,4.0,13.0,50.0,45.0,1011.9,1006.4,0.0,1.0,26.5,29.6,No,No
2010-07-25,MountGambier,4.2,15.4,0.0,0.2,9.3,WSW,28.0,NNW,SW,9.0,19.0,93.0,69.0,1033.1,1031.7,2.0,3.0,9.0,13.2,No,No
2014-03-25,Townsville,22.2,26.8,21.4,7.2,1.0,ESE,33.0,S,E,11.0,20.0,96.0,80.0,1012.6,1010.0,8.0,7.0,23.7,26.8,Yes,Yes
2011-06-09,Sale,7.5,14.7,4.2,2.2,6.0,SW,48.0,WSW,SSW,19.0,33.0,82.0,64.0,1018.0,1017.4,6.0,5.0,10.2,12.0,Yes,No
2013-01-09,Sale,11.2,21.2,0.0,13.4,12.2,WSW,63.0,WSW,W,24.0,35.0,49.0,30.0,1003.4,1004.1,8.0,8.0,15.6,20.1,No,No
2009-08-09,PerthAirport,11.9,21.0,2.4,1.0,4.8,E,35.0,ENE,ENE,24.0,17.0,77.0,60.0,1013.3,1010.9,6.0,7.0,15.7,19.8,Yes,Yes
2013-11-28,Moree,17.0,36.1,0.0,11.2,13.0,NNE,48.0,NNE,NNW,28.0,6.0,52.0,17.0,1013.6,1007.9,0.0,1.0,23.5,33.6,No,No
2010-05-25,Canberra,7.7,13.8,0.6,1.0,0.0,ENE,20.0,NNE,SSE,2.0,4.0,94.0,87.0,1011.6,1007.0,8.0,7.0,11.0,13.3,No,Yes
2016-06-16,SydneyAirport,9.4,22.5,0.0,2.2,9.6,N,28.0,WNW,N,15.0,13.0,70.0,39.0,1025.5,1019.1,1.0,1.0,13.3,21.9,No,No
2010-10-11,Perth,6.7,19.3,1.0,2.8,11.6,SW,41.0,SSE,SW,15.0,24.0,44.0,41.0,1022.8,1021.2,5.0,3.0,15.0,18.4,No,No
2015-11-18,Cairns,24.6,31.9,3.2,7.2,10.3,SE,50.0,SE,SE,24.0,37.0,69.0,46.0,1015.9,1012.6,6.0,1.0,28.1,31.2,Yes,Yes
2011-06-16,Townsville,9.1,23.9,0.0,6.8,10.6,SSW,33.0,SSW,SW,15.0,15.0,48.0,43.0,1020.1,1015.5,1.0,0.0,17.9,22.9,No,No
2011-02-20,Portland,13.0,16.7,2.2,2.4,9.9,WSW,54.0,SW,WSW,28.0,31.0,64.0,51.0,1011.6,1016.1,7.0,6.0,13.4,15.9,Yes,No
2011-10-10,SydneyAirport,12.1,20.9,0.0,4.4,6.9,E,37.0,NW,E,13.0,30.0,72.0,57.0,1010.1,1006.4,5.0,6.0,15.5,18.3,No,No
2011-08-13,WaggaWagga,1.7,15.4,0.0,2.4,4.7,ESE,17.0,SE,WNW,13.0,2.0,85.0,54.0,1025.1,1022.9,4.0,7.0,6.5,15.2,No,No
2010-09-11,SydneyAirport,10.2,18.7,0.0,4.4,10.9,WSW,35.0,WSW,ESE,24.0,17.0,43.0,39.0,1017.6,1017.2,1.0,1.0,15.7,18.2,No,No
2013-06-20,Nuriootpa,1.6,13.6,0.0,2.0,3.9,N,24.0,NE,N,6.0,9.0,89.0,60.0,1023.8,1019.4,6.0,6.0,6.5,13.0,No,No
2014-09-26,Brisbane,13.9,25.5,9.8,5.2,10.2,W,26.0,WSW,ENE,9.0,11.0,56.0,57.0,1015.5,1013.2,1.0,5.0,21.7,22.8,Yes,No
2015-07-12,Brisbane,12.2,18.3,0.6,2.8,9.9,W,54.0,WSW,W,19.0,19.0,50.0,28.0,1015.4,1011.3,1.0,0.0,13.0,17.8,No,No
2010-10-17,CoffsHarbour,4.3,18.7,0.0,6.4,12.3,SW,31.0,WSW,ENE,19.0,17.0,33.0,35.0,1015.2,1013.6,0.0,0.0,14.6,17.9,No,No
2009-04-24,Nuriootpa,11.2,15.8,19.6,1.8,2.8,W,69.0,NW,WSW,22.0,30.0,97.0,96.0,1002.6,1004.0,8.0,8.0,12.1,13.4,Yes,Yes
2010-03-15,Townsville,22.7,30.6,0.8,6.8,8.5,SE,48.0,SSE,SE,28.0,30.0,64.0,54.0,1016.0,1012.2,2.0,7.0,26.2,29.6,No,No
2015-05-02,MelbourneAirport,11.6,22.5,0.0,5.4,4.1,N,59.0,N,N,28.0,30.0,62.0,47.0,1019.2,1014.8,7.0,2.0,15.6,21.4,No,No
2016-10-02,Mildura,11.0,26.0,0.0,4.0,1.0,N,69.0,NNE,N,35.0,28.0,43.0,30.0,1001.7,995.9,7.0,7.0,17.2,24.6,No,Yes
2013-05-02,NorfolkIsland,15.5,22.0,0.0,4.4,9.5,E,26.0,ESE,SSE,13.0,11.0,65.0,65.0,1018.3,1016.7,2.0,1.0,20.4,20.8,No,No
