,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Cloud9am,Temp9am,RainToday,RainTomorrow
30,14.8,21.8,0.0,6.8,0.2,WSW,37.0,SE,N,13.0,11.0,62.0,40.0,1014.9,8.0,16.4,No,Yes
31,17.8,30.5,0.0,9.4,11.8,ENE,33.0,ENE,NE,22.0,11.0,58.0,33.0,1019.5,1.0,20.9,No,No
32,7.8,22.8,0.0,3.4,1.2,NNE,39.0,NNE,NW,28.0,7.0,75.0,91.0,1018.7,7.0,17.6,No,Yes
33,9.6,20.5,0.0,2.8,3.9,N,17.0,ENE,WNW,6.0,7.0,70.0,34.0,1021.2,8.0,13.0,No,No
34,7.8,14.3,10.2,5.2,5.3,WNW,91.0,NNW,WNW,26.0,63.0,85.0,62.0,997.0,8.0,9.7,Yes,Yes
35,13.7,27.6,0.0,6.0,9.8,ESE,41.0,SE,E,20.0,13.0,44.0,22.0,1017.3,2.0,17.7,No,No
36,8.5,15.7,0.0,3.8,4.6,W,35.0,W,N,15.0,9.0,53.0,38.0,1022.9,7.0,9.9,No,No
37,26.7,34.1,0.0,6.4,8.4,W,30.0,SSW,S,17.0,11.0,71.0,37.0,1009.0,3.0,28.9,No,No
38,10.5,19.6,0.0,3.2,3.1,SW,41.0,SSW,S,19.0,19.0,57.0,71.0,1020.5,6.0,17.7,No,No
39,14.2,23.4,0.0,4.8,11.6,ENE,39.0,ENE,SE,20.0,17.0,80.0,61.0,1016.3,7.0,16.7,No,No
40,21.3,30.7,0.0,8.6,5.9,SE,44.0,SSE,SE,17.0,22.0,58.0,64.0,1013.6,1.0,28.0,No,Yes
41,11.8,15.9,0.2,4.4,4.4,SE,52.0,SE,SE,30.0,30.0,88.0,79.0,1022.0,8.0,12.8,No,Yes
42,10.4,26.3,0.0,4.2,11.3,NE,28.0,E,NE,11.0,9.0,58.0,32.0,1025.6,0.0,17.1,No,No
43,12.4,17.9,3.4,3.8,9.6,NNW,44.0,N,NNW,24.0,28.0,78.0,49.0,1016.2,2.0,13.8,Yes,No
44,7.4,11.1,1.4,5.2,8.9,SW,59.0,WNW,WSW,15.0,13.0,60.0,60.0,1004.5,5.0,8.0,Yes,No
45,9.4,23.0,0.0,2.4,10.3,NNE,39.0,NW,NNE,20.0,30.0,58.0,63.0,1019.8,4.0,18.3,No,No
46,8.6,27.3,0.0,2.4,10.3,N,35.0,E,NNW,7.0,11.0,74.0,32.0,1021.7,0.0,16.0,No,No
47,17.9,40.3,0.0,10.6,13.7,NNW,48.0,N,NW,20.0,33.0,11.0,4.0,1011.3,0.0,31.0,No,No
48,22.5,43.0,0.0,13.8,13.1,NE,50.0,NE,WNW,31.0,20.0,12.0,18.0,1011.1,0.0,34.0,No,No
49,12.6,17.2,19.0,2.4,1.9,N,54.0,NNE,NNE,13.0,17.0,97.0,78.0,1008.0,8.0,13.1,Yes,Yes
50,7.6,12.0,8.0,3.6,8.4,WNW,67.0,SW,WSW,28.0,24.0,66.0,58.0,1015.7,4.0,9.3,Yes,No
51,15.8,29.5,0.0,8.8,13.2,SW,41.0,SE,SSW,11.0,24.0,44.0,45.0,1015.9,3.0,21.6,No,No
52,22.4,33.1,0.0,7.4,11.1,ENE,46.0,ESE,ENE,20.0,20.0,60.0,38.0,1013.3,1.0,27.2,No,No
53,15.3,32.1,0.0,8.0,5.7,NNE,43.0,NE,NNE,17.0,20.0,38.0,20.0,1024.4,7.0,20.5,No,No
54,22.5,31.6,0.0,9.4,11.8,ESE,37.0,SSE,ENE,22.0,24.0,58.0,55.0,1014.0,7.0,27.9,No,No
55,7.7,15.1,4.2,3.8,1.7,SE,44.0,SSE,SE,13.0,31.0,95.0,78.0,1008.2,8.0,10.8,Yes,Yes
56,10.2,13.7,7.4,6.0,3.7,W,57.0,WSW,W,19.0,33.0,78.0,76.0,1004.4,7.0,11.6,Yes,Yes
57,17.5,21.8,0.0,6.0,5.8,ESE,54.0,E,E,30.0,31.0,70.0,69.0,1018.5,7.0,19.6,No,No
58,12.4,21.6,0.0,5.8,3.8,W,52.0,WSW,W,30.0,20.0,67.0,48.0,1019.2,7.0,15.8,No,No
59,6.9,24.5,0.2,3.8,6.6,S,37.0,NNW,S,9.0,26.0,96.0,57.0,1019.4,6.0,11.6,No,Yes
60,11.6,19.0,0.0,5.2,9.1,E,48.0,ESE,ESE,22.0,31.0,60.0,34.0,1025.9,6.0,12.9,No,No
61,7.7,16.7,0.2,3.4,1.8,SW,28.0,WSW,WSW,13.0,11.0,91.0,57.0,1025.9,7.0,10.9,No,No
62,6.9,18.1,1.8,2.0,4.5,N,50.0,NNE,N,6.0,20.0,100.0,65.0,1016.5,7.0,9.3,Yes,Yes
63,16.3,27.1,31.4,6.8,11.0,W,39.0,NW,W,13.0,19.0,85.0,38.0,1011.3,3.0,19.1,Yes,No
64,12.5,23.8,0.0,4.6,4.4,ENE,35.0,SE,ENE,13.0,13.0,77.0,58.0,1011.3,8.0,14.0,No,No
65,19.4,30.2,0.4,6.8,12.9,ENE,26.0,SW,ENE,2.0,13.0,64.0,56.0,1014.7,4.0,25.8,No,No
66,12.3,17.6,6.6,4.6,8.1,WSW,63.0,W,WSW,15.0,24.0,59.0,35.0,1017.1,7.0,14.6,Yes,Yes
67,14.0,28.6,0.0,7.4,10.3,SSE,46.0,E,SSE,13.0,15.0,43.0,13.0,1016.2,6.0,17.7,No,No
68,19.9,35.0,0.0,10.2,12.5,NNE,37.0,N,NW,24.0,9.0,56.0,23.0,1017.4,0.0,24.2,No,No
69,9.7,12.7,0.0,2.6,7.1,NW,83.0,NNW,NNW,41.0,26.0,58.0,59.0,997.3,5.0,10.9,No,No
70,10.3,28.1,0.0,4.0,8.9,ENE,33.0,ENE,SE,9.0,7.0,49.0,29.0,1019.6,1.0,20.1,No,Yes
71,6.7,17.2,1.8,1.6,4.7,NNW,44.0,NE,NNW,15.0,19.0,95.0,65.0,1019.4,6.0,11.1,Yes,Yes
72,9.7,15.1,2.8,1.0,0.7,E,19.0,WNW,SE,2.0,7.0,100.0,88.0,1036.9,8.0,12.1,Yes,No
73,26.5,33.3,0.0,8.0,9.3,WNW,37.0,SSW,WNW,7.0,30.0,74.0,50.0,1010.2,3.0,29.4,No,No
74,24.1,34.6,2.8,6.0,9.5,NE,50.0,SSE,W,4.0,17.0,66.0,48.0,1009.1,3.0,29.1,Yes,Yes
75,13.2,21.9,0.0,4.0,4.3,SW,41.0,S,SW,19.0,28.0,71.0,36.0,1015.5,5.0,15.6,No,No
76,17.3,22.5,1.6,5.0,10.4,SSE,46.0,SSE,SE,26.0,22.0,74.0,55.0,1013.2,4.0,19.9,Yes,No
77,0.9,15.4,0.0,0.8,8.7,E,17.0,E,S,9.0,4.0,86.0,53.0,1030.1,6.0,4.9,No,No
78,13.5,32.3,0.2,2.8,7.8,E,33.0,SW,NE,9.0,11.0,91.0,27.0,1017.5,7.0,17.3,No,No
79,2.2,14.6,0.0,3.2,8.0,SE,35.0,WNW,S,9.0,24.0,62.0,48.0,1024.1,4.0,11.1,No,Yes
80,5.8,12.9,1.4,2.6,5.8,WSW,56.0,NW,SW,9.0,9.0,81.0,44.0,999.2,5.0,7.1,Yes,Yes
81,12.7,16.9,1.8,4.4,0.9,SW,39.0,SSW,SSW,19.0,22.0,72.0,50.0,1013.4,7.0,14.2,Yes,Yes
82,11.6,17.9,5.4,3.8,8.6,SW,43.0,SSW,SW,11.0,9.0,58.0,49.0,1024.2,7.0,14.7,Yes,No
83,15.9,22.7,0.8,3.2,2.9,SSW,13.0,S,N,6.0,2.0,78.0,77.0,1022.6,6.0,19.3,No,No
84,9.4,14.8,9.6,8.0,5.6,W,46.0,WNW,WNW,9.0,24.0,97.0,62.0,1011.9,8.0,9.6,Yes,Yes
85,19.1,26.9,1.0,0.8,3.2,ESE,33.0,W,ESE,15.0,15.0,85.0,76.0,1013.7,6.0,20.9,No,Yes
86,16.7,33.8,0.0,9.6,12.3,E,54.0,E,SSE,30.0,13.0,46.0,26.0,1010.7,0.0,23.2,No,No
87,12.1,19.0,3.2,0.2,1.4,SW,31.0,ESE,S,9.0,13.0,94.0,77.0,1024.4,8.0,12.6,Yes,Yes
88,10.8,23.9,0.0,4.2,10.7,NNE,30.0,S,NE,9.0,24.0,42.0,33.0,1018.2,0.0,20.1,No,No
89,18.9,20.9,31.6,1.2,0.4,SSW,50.0,SSW,S,15.0,22.0,98.0,86.0,1014.8,8.0,19.0,Yes,No
90,16.4,24.3,1.6,3.4,8.0,S,57.0,SW,SW,24.0,30.0,74.0,64.0,1019.7,6.0,19.7,Yes,No
91,16.8,30.0,0.0,7.2,6.7,SW,43.0,E,S,11.0,20.0,59.0,38.0,1014.2,7.0,20.8,No,No
92,14.5,35.1,0.0,12.0,12.5,NW,35.0,ENE,N,17.0,15.0,43.0,8.0,1013.7,0.0,22.6,No,No
93,6.3,27.0,0.0,5.6,11.9,WNW,43.0,NNW,WNW,20.0,20.0,23.0,12.0,1025.4,0.0,21.1,No,No
94,2.9,11.7,5.0,1.0,4.6,WNW,83.0,NNE,NW,24.0,30.0,62.0,65.0,1010.6,7.0,5.8,Yes,Yes
95,25.2,33.6,0.0,7.8,11.1,NW,33.0,ESE,NW,7.0,20.0,65.0,56.0,1011.0,6.0,29.7,No,No
96,11.0,23.1,0.0,5.0,12.5,S,35.0,SSE,ESE,6.0,13.0,68.0,49.0,1019.9,1.0,17.0,No,No
97,21.5,28.7,3.6,5.8,5.5,SE,46.0,SSE,SE,13.0,28.0,76.0,69.0,1020.1,6.0,23.9,Yes,No
98,9.5,17.0,1.4,1.0,2.2,WSW,54.0,N,NNW,28.0,13.0,73.0,93.0,1010.1,6.0,15.1,Yes,Yes
99,11.3,23.2,0.0,2.2,5.2,SE,15.0,SW,NW,6.0,6.0,95.0,51.0,1019.2,6.0,13.5,No,No
100,12.4,22.2,0.2,1.0,4.4,SSW,30.0,WNW,ENE,15.0,9.0,66.0,66.0,1016.0,7.0,19.1,No,No
101,20.0,31.9,0.0,8.4,11.3,ESE,39.0,ESE,SSE,24.0,15.0,27.0,17.0,1016.8,0.0,24.1,No,No
102,15.2,23.2,0.0,7.0,8.2,SE,50.0,SW,SE,11.0,20.0,55.0,74.0,1013.2,2.0,20.3,No,Yes
103,10.7,25.8,0.0,7.3,11.7,SE,44.0,SE,W,17.0,11.0,60.0,33.0,1019.4,1.0,14.1,No,No
104,3.7,13.4,0.0,2.9,4.0,WSW,26.0,NE,SW,2.0,13.0,86.0,55.0,1025.6,7.0,7.4,No,No
105,22.4,42.1,0.0,15.6,11.9,E,52.0,ENE,ESE,20.0,6.0,45.0,17.0,1014.7,0.0,26.9,No,No
106,0.8,13.0,0.0,1.4,4.1,WNW,41.0,S,NW,2.0,28.0,95.0,69.0,1028.2,8.0,4.3,No,No
107,13.7,28.3,0.0,5.8,7.3,NW,44.0,NNW,W,20.0,28.0,51.0,45.0,1010.4,6.0,21.5,No,No
108,4.6,14.9,1.6,1.6,7.1,NNW,52.0,NNW,NNW,13.0,26.0,66.0,39.0,1006.2,6.0,8.3,Yes,No
109,0.3,13.7,0.0,1.2,8.6,N,19.0,E,NE,9.0,11.0,74.0,47.0,1024.4,1.0,6.2,No,No
110,19.7,27.9,8.6,12.2,4.5,E,56.0,NE,ESE,33.0,20.0,71.0,71.0,1007.2,7.0,23.4,Yes,Yes
111,20.2,30.4,0.0,6.0,10.8,E,37.0,SSE,ESE,20.0,24.0,60.0,45.0,1018.7,6.0,25.7,No,No
112,9.9,15.9,6.6,2.2,0.2,SSW,35.0,SW,SW,11.0,20.0,74.0,54.0,1021.1,8.0,11.3,Yes,No
113,16.8,24.9,0.2,9.8,10.8,NE,41.0,NW,E,6.0,17.0,62.0,53.0,1019.4,3.0,20.5,No,No
114,9.3,15.4,3.6,2.6,2.2,SSW,37.0,NW,SSE,11.0,19.0,78.0,68.0,1028.9,7.0,11.6,Yes,No
115,11.3,20.5,0.0,1.8,6.0,SSE,35.0,SE,SE,17.0,17.0,82.0,46.0,1019.9,8.0,14.3,No,No
116,16.6,27.6,0.0,6.4,9.1,NE,31.0,SSE,ENE,6.0,22.0,71.0,52.0,1017.8,4.0,23.5,No,No
117,11.1,19.9,0.4,11.2,5.3,SW,57.0,SW,SW,33.0,37.0,51.0,30.0,1015.4,7.0,14.7,No,No
118,7.9,13.0,0.0,0.8,1.8,ESE,24.0,SE,ESE,11.0,9.0,69.0,60.0,1026.7,8.0,10.3,No,No
119,24.0,37.7,0.0,7.2,11.0,NNE,35.0,NW,NE,7.0,17.0,74.0,46.0,1007.0,1.0,30.3,No,No
120,4.0,16.3,0.0,1.2,8.9,NW,56.0,NNW,SW,26.0,11.0,38.0,45.0,1027.5,1.0,10.1,No,No
121,17.2,34.4,0.0,9.0,12.3,NE,31.0,NW,NE,4.0,13.0,50.0,45.0,1011.9,0.0,26.5,No,No
122,4.2,15.4,0.0,0.2,9.3,WSW,28.0,NNW,SW,9.0,19.0,93.0,69.0,1033.1,2.0,9.0,No,No
123,22.2,26.8,21.4,7.2,1.0,ESE,33.0,S,E,11.0,20.0,96.0,80.0,1012.6,8.0,23.7,Yes,Yes
124,7.5,14.7,4.2,2.2,6.0,SW,48.0,WSW,SSW,19.0,33.0,82.0,64.0,1018.0,6.0,10.2,Yes,No
125,11.2,21.2,0.0,13.4,12.2,WSW,63.0,WSW,W,24.0,35.0,49.0,30.0,1003.4,8.0,15.6,No,No
126,11.9,21.0,2.4,1.0,4.8,E,35.0,ENE,ENE,24.0,17.0,77.0,60.0,1013.3,6.0,15.7,Yes,Yes
127,17.0,36.1,0.0,11.2,13.0,NNE,48.0,NNE,NNW,28.0,6.0,52.0,17.0,1013.6,0.0,23.5,No,No
128,7.7,13.8,0.6,1.0,0.0,ENE,20.0,NNE,SSE,2.0,4.0,94.0,87.0,1011.6,8.0,11.0,No,Yes
129,9.4,22.5,0.0,2.2,9.6,N,28.0,WNW,N,15.0,13.0,70.0,39.0,1025.5,1.0,13.3,No,No
130,6.7,19.3,1.0,2.8,11.6,SW,41.0,SSE,SW,15.0,24.0,44.0,41.0,1022.8,5.0,15.0,No,No
131,24.6,31.9,3.2,7.2,10.3,SE,50.0,SE,SE,24.0,37.0,69.0,46.0,1015.9,6.0,28.1,Yes,Yes
132,9.1,23.9,0.0,6.8,10.6,SSW,33.0,SSW,SW,15.0,15.0,48.0,43.0,1020.1,1.0,17.9,No,No
133,13.0,16.7,2.2,2.4,9.9,WSW,54.0,SW,WSW,28.0,31.0,64.0,51.0,1011.6,7.0,13.4,Yes,No
134,12.1,20.9,0.0,4.4,6.9,E,37.0,NW,E,13.0,30.0,72.0,57.0,1010.1,5.0,15.5,No,No
135,1.7,15.4,0.0,2.4,4.7,ESE,17.0,SE,WNW,13.0,2.0,85.0,54.0,1025.1,4.0,6.5,No,No
136,10.2,18.7,0.0,4.4,10.9,WSW,35.0,WSW,ESE,24.0,17.0,43.0,39.0,1017.6,1.0,15.7,No,No
137,1.6,13.6,0.0,2.0,3.9,N,24.0,NE,N,6.0,9.0,89.0,60.0,1023.8,6.0,6.5,No,No
138,13.9,25.5,9.8,5.2,10.2,W,26.0,WSW,ENE,9.0,11.0,56.0,57.0,1015.5,1.0,21.7,Yes,No
139,12.2,18.3,0.6,2.8,9.9,W,54.0,WSW,W,19.0,19.0,50.0,28.0,1015.4,1.0,13.0,No,No
140,4.3,18.7,0.0,6.4,12.3,SW,31.0,WSW,ENE,19.0,17.0,33.0,35.0,1015.2,0.0,14.6,No,No
141,11.2,15.8,19.6,1.8,2.8,W,69.0,NW,WSW,22.0,30.0,97.0,96.0,1002.6,8.0,12.1,Yes,Yes
142,22.7,30.6,0.8,6.8,8.5,SE,48.0,SSE,SE,28.0,30.0,64.0,54.0,1016.0,2.0,26.2,No,No
143,11.6,22.5,0.0,5.4,4.1,N,59.0,N,N,28.0,30.0,62.0,47.0,1019.2,7.0,15.6,No,No
144,11.0,26.0,0.0,4.0,1.0,N,69.0,NNE,N,35.0,28.0,43.0,30.0,1001.7,7.0,17.2,No,Yes
145,15.5,22.0,0.0,4.4,9.5,E,26.0,ESE,SSE,13.0,11.0,65.0,65.0,1018.3,2.0,20.4,No,No
146,2.9,15.0,0.0,2.0,4.1,NW,50.0,NE,NNW,6.0,19.0,73.0,48.0,1018.8,6.0,7.9,No,Yes
147,11.1,27.3,0.0,9.0,11.3,WSW,26.0,WSW,WNW,7.0,6.0,25.0,15.0,1019.5,1.0,22.2,No,No
148,14.4,17.9,0.6,8.8,3.6,SW,76.0,W,SSE,20.0,9.0,80.0,75.0,1009.3,7.0,14.7,No,No
149,26.9,33.6,0.0,5.4,3.9,NW,28.0,ESE,WNW,11.0,19.0,79.0,56.0,1008.3,8.0,29.1,No,No
150,24.6,32.4,0.0,8.0,10.2,SE,39.0,SSE,ESE,17.0,26.0,61.0,51.0,1009.0,7.0,28.7,No,No
151,7.4,17.0,0.2,0.4,4.3,N,22.0,N,NNW,15.0,9.0,91.0,69.0,1023.7,5.0,9.8,No,No
152,13.6,20.2,15.4,1.6,4.7,WSW,65.0,NW,WNW,11.0,31.0,91.0,80.0,1013.6,7.0,16.8,Yes,Yes
153,5.5,12.1,7.0,0.8,3.7,N,24.0,N,W,15.0,13.0,100.0,83.0,1003.0,6.0,6.5,Yes,Yes
154,13.1,17.3,2.0,3.0,4.2,WNW,48.0,WNW,SW,24.0,24.0,98.0,92.0,1013.8,8.0,14.4,Yes,No
155,15.4,34.8,0.0,11.4,12.7,E,59.0,ENE,SE,31.0,9.0,35.0,13.0,1019.5,4.0,23.1,No,No
156,20.5,23.9,4.8,3.8,0.5,SSE,48.0,SSE,S,22.0,20.0,90.0,84.0,1017.4,8.0,21.4,Yes,Yes
157,15.6,33.1,0.0,8.0,12.3,NNE,33.0,NNE,NE,9.0,9.0,61.0,27.0,1022.8,1.0,20.6,No,No
158,4.5,15.4,0.0,4.0,7.2,NNW,39.0,NNE,N,9.0,22.0,76.0,42.0,1015.6,6.0,8.0,No,No
159,18.0,34.9,0.0,9.2,9.9,NW,69.0,N,W,6.0,13.0,68.0,29.0,1018.0,1.0,22.2,No,Yes
160,10.8,18.4,11.6,2.6,3.7,SW,52.0,SW,WSW,28.0,17.0,51.0,89.0,1007.7,7.0,15.7,Yes,Yes
161,14.7,19.3,4.4,8.0,0.4,SSE,44.0,SSE,SSE,24.0,28.0,77.0,51.0,1019.3,7.0,15.5,Yes,No
162,10.1,14.4,8.0,1.6,4.3,SW,63.0,WSW,WSW,20.0,33.0,78.0,62.0,1015.2,7.0,11.6,Yes,Yes
163,12.4,26.8,0.0,3.4,9.5,ENE,33.0,E,E,22.0,13.0,76.0,34.0,1027.5,6.0,16.5,No,No
164,13.7,22.6,0.0,8.2,10.0,WSW,37.0,WSW,WNW,11.0,17.0,50.0,55.0,1009.8,6.0,21.0,No,Yes
165,24.5,37.2,0.0,11.4,10.9,ENE,44.0,ENE,N,28.0,9.0,51.0,36.0,1010.6,6.0,28.0,No,No
166,10.2,33.0,0.0,4.8,10.6,N,26.0,ENE,NW,11.0,15.0,44.0,16.0,1018.8,1.0,24.7,No,No
167,8.2,24.2,0.0,5.0,9.8,WSW,35.0,W,SW,9.0,17.0,64.0,32.0,1020.5,7.0,14.6,No,No
168,21.0,23.8,3.0,10.0,0.1,SW,39.0,N,WSW,15.0,28.0,76.0,91.0,1014.3,7.0,22.2,Yes,Yes
169,16.8,34.0,0.0,9.6,13.4,E,59.0,ENE,SSW,33.0,9.0,39.0,16.0,1015.5,0.0,25.6,No,No
170,5.7,14.4,5.6,1.6,8.0,SSE,22.0,N,SSE,4.0,15.0,88.0,67.0,1029.7,2.0,8.0,Yes,No
171,9.3,23.6,0.0,3.6,1.2,ENE,22.0,NNE,WSW,9.0,9.0,36.0,32.0,1020.5,7.0,18.4,No,No
172,15.0,28.9,0.0,9.8,13.3,ENE,43.0,E,NE,28.0,13.0,46.0,25.0,1021.5,0.0,18.6,No,No
173,15.0,23.2,5.8,0.2,6.7,WSW,31.0,W,SW,7.0,17.0,94.0,54.0,1016.6,7.0,17.9,Yes,No
174,13.4,22.7,0.0,7.8,6.8,ESE,39.0,WNW,SE,9.0,28.0,55.0,65.0,1025.3,3.0,16.8,No,No
175,15.0,19.9,1.0,2.6,4.9,WNW,65.0,NW,W,31.0,35.0,86.0,71.0,1009.7,8.0,17.0,No,Yes
176,8.1,14.7,0.0,2.2,5.0,N,61.0,N,N,41.0,31.0,83.0,69.0,1014.1,4.0,10.4,No,No
177,21.0,35.4,0.0,15.2,10.8,ENE,43.0,NE,NE,26.0,22.0,46.0,13.0,1016.0,1.0,25.9,No,No
178,22.5,28.7,1.0,5.8,11.3,E,48.0,NE,ESE,15.0,33.0,84.0,64.0,1013.9,4.0,24.4,No,Yes
179,7.4,24.6,0.0,5.2,9.9,SW,33.0,ESE,W,13.0,19.0,61.0,36.0,1025.4,1.0,17.7,No,No
180,7.9,17.7,4.0,1.8,2.0,WNW,28.0,NE,NNW,9.0,15.0,88.0,55.0,1017.9,6.0,12.0,Yes,No
181,5.2,14.4,0.0,2.0,7.2,N,56.0,N,N,31.0,24.0,79.0,60.0,1016.4,5.0,8.9,No,Yes
182,9.5,33.4,0.0,5.8,9.8,N,61.0,ESE,NE,6.0,15.0,58.0,16.0,1014.7,4.0,18.6,No,No
183,5.6,22.8,0.0,6.0,10.1,WNW,33.0,NNE,W,4.0,13.0,45.0,25.0,1012.4,0.0,16.4,No,No
184,15.2,21.9,0.0,14.4,8.6,N,74.0,SW,SSE,28.0,35.0,59.0,44.0,1013.3,7.0,17.1,No,No
185,2.3,15.8,0.2,3.6,9.5,NW,61.0,NNW,NNW,22.0,33.0,49.0,40.0,1016.9,5.0,10.4,No,No
186,5.9,20.0,0.8,3.6,7.7,SW,26.0,N,SW,9.0,15.0,63.0,53.0,1026.8,5.0,14.7,No,No
187,20.7,39.9,0.0,13.0,13.2,SE,35.0,NE,WSW,11.0,15.0,24.0,8.0,1012.1,0.0,30.2,No,No
188,14.8,19.2,0.0,5.6,9.2,WSW,61.0,WSW,SW,30.0,31.0,54.0,54.0,1021.2,1.0,17.8,No,No
189,5.0,16.9,0.0,1.8,9.1,S,26.0,SSW,S,13.0,13.0,87.0,53.0,1026.5,8.0,7.8,No,No
190,7.0,15.5,0.0,2.6,6.5,SSW,30.0,SSW,SSW,11.0,11.0,87.0,40.0,1024.6,7.0,10.0,No,No
191,19.5,23.3,0.0,2.4,9.1,E,50.0,E,E,30.0,33.0,72.0,67.0,1022.3,7.0,21.3,No,No
192,20.3,34.4,0.0,11.8,12.7,SSW,44.0,S,W,17.0,24.0,57.0,34.0,1012.8,4.0,23.5,No,No
193,14.2,33.7,0.0,9.8,13.3,W,39.0,WNW,NW,19.0,22.0,33.0,15.0,1010.5,0.0,22.8,No,No
194,12.9,17.9,4.6,3.4,10.1,SW,46.0,S,SSW,13.0,19.0,53.0,52.0,1025.1,3.0,15.8,Yes,No
195,17.7,26.7,0.0,5.0,2.5,WNW,59.0,E,NNE,13.0,11.0,44.0,37.0,1020.3,7.0,21.8,No,Yes
196,20.1,28.0,0.2,6.4,7.3,S,37.0,SSE,ESE,22.0,28.0,64.0,54.0,1017.1,1.0,23.3,No,No
